formula,prediction,density,Density Score,index
SrLi4N2,99.014,0.135,2.241,8126
LiLuPt2,150.572,0.173,2.102,4478
Ca3Au,33.940,0.122,1.765,1065
LiB,124.154,0.182,1.653,4293
Li3Au,29.380,0.126,1.651,4140
Sr3MnN3,127.573,0.185,1.638,8007
Rb3Mg,21.444,0.125,1.583,6861
LiErGe,46.653,0.142,1.553,4381
Li7Sn2,25.173,0.129,1.547,4239
Sr6Sn2NO,56.725,0.150,1.499,8034
Ca3BiSb,41.049,0.150,1.331,1069
Yb2SbAu,49.655,0.168,1.104,9975
Er2ZnRu,66.950,0.179,1.087,2366
HoTmMg2,57.498,0.175,1.065,3325
LiTmIn2,62.664,0.180,1.025,4641
Sm2AgSn,59.028,0.179,1.005,7571
Yb2AgSn,49.312,0.174,1.001,9954
Nd2CdIn,62.136,0.182,0.981,6000
CaSmZn2,54.006,0.178,0.976,1307
Pr2ZnHg,54.580,0.180,0.932,6558
LiTmHg2,40.428,0.176,0.865,4640
Li4UO5,62.486,0.194,0.777,4204
NdTmTl2,44.268,0.184,0.756,6155
ErB2Rh2C,200.569,0.281,0.665,2384
Al(SnO2)2,161.672,0.263,0.590,139
Ca2MnO4,142.673,0.252,0.588,1030
Ga2CoS4,158.550,0.263,0.552,2674
Cr2FeS4,166.730,0.271,0.493,1698
CrPO4,143.208,0.258,0.481,1787
Cs2CrCl4,109.445,0.241,0.420,1826
TbGaRh2,176.671,0.283,0.381,8438
TmHfRu2,172.152,0.281,0.366,9217
MnAlRh2,181.791,0.288,0.337,5266
BeGaRh2,180.709,0.288,0.327,852
Hf4N3,174.738,0.286,0.302,2946
LiAlPt2,158.747,0.278,0.275,4281
Ho2CF2,90.873,0.239,0.267,3185
Mn3O4,135.048,0.265,0.259,5230
ScNbOs2,170.296,0.286,0.259,7384
CrGaP2,143.155,0.274,0.176,1766
SF6,57.005,0.224,0.176,7074
U2CrN3,163.360,0.287,0.170,9287
NdBPd3,161.042,0.286,0.163,6045
ThSiO4,111.409,0.259,0.120,8639
MgSiN2,137.612,0.275,0.114,5115
Nd(CoSi)2,148.783,0.281,0.110,5981
CeNiC2,146.216,0.280,0.106,1560
Ti2GaC,151.894,0.286,0.053,8693
MnSbPd2,152.069,0.288,0.031,5373
Ho2Cr2C3,128.034,0.274,0.015,3189
CaCu2O3,113.450,0.267,-0.015,1177
Na2Hf2O5,85.646,0.253,-0.046,5475
Sm2Zr2O7,99.311,0.261,-0.058,7608
P2Pb2O7,92.976,0.258,-0.071,6298
Fe2W,141.492,0.289,-0.110,2569
Rb2Cr(BrCl)2,59.294,0.241,-0.114,6763
Pr(CoSi)2,125.352,0.280,-0.116,6525
V2C,132.573,0.285,-0.122,9401
CeIr2,128.951,0.284,-0.145,1545
CaPd3O4,98.554,0.267,-0.167,1270
Mg(BeN)2,111.699,0.275,-0.175,4839
Ho(SiRu)2,120.372,0.281,-0.191,3178
DyIr3,123.226,0.283,-0.197,2263
ZrH3,74.685,0.255,-0.206,10471
HfPbO3,83.488,0.261,-0.212,3060
P3N5,108.250,0.275,-0.214,6305
Cs2RbInF6,40.565,0.238,-0.258,1888
RbSbO3,44.008,0.241,-0.279,6979
MgS,84.812,0.265,-0.282,5093
CuAs,103.173,0.277,-0.293,2091
Fe3Sn2,123.182,0.289,-0.296,2587
Sc2CoRu,118.471,0.287,-0.320,7168
LiZnAu2,100.527,0.280,-0.373,4682
TiBiRh,112.803,0.287,-0.373,8848
SmMn2O5,64.572,0.260,-0.408,7724
ZnCo3C,110.614,0.288,-0.423,10231
BaTiS3,50.654,0.253,-0.424,751
K2SnCl6,28.238,0.240,-0.433,3510
Sc3AlC,103.904,0.286,-0.450,7232
Ni2Ge,107.435,0.288,-0.461,6171
Cs2PbCl6,25.453,0.240,-0.466,1870
DyCuSeO,67.187,0.266,-0.479,2242
TbNi2,86.076,0.280,-0.532,8458
YNiSb,71.128,0.271,-0.533,9851
AsPdSe,65.512,0.270,-0.576,352
TaNiGe,92.626,0.288,-0.619,8321
LaCu2,84.265,0.284,-0.628,3852
YMg2,67.523,0.275,-0.640,9816
BaTe2,13.954,0.245,-0.679,744
ErCdCu4,85.806,0.288,-0.682,2394
Sr(ZnGe)2,61.771,0.276,-0.733,7904
ZrGeTe,53.864,0.274,-0.764,10467
Sc,60.222,0.277,-0.764,7129
Sc2CdAg,73.576,0.287,-0.800,7161
Ba(CdAs)2,52.598,0.276,-0.815,422
In2Se3,27.104,0.263,-0.863,3346
Cu3P,65.478,0.288,-0.908,2071
CdCl2,3.518,0.254,-0.954,1387
HoCd3,28.590,0.279,-1.141,3230
TbCd3,28.795,0.280,-1.159,8415
