formula,prediction,density,Peak Score,index
LiLuPt2,150.572,0.173,2.441,4478
Ca2MnO4,142.673,0.252,2.091,1030
Sr3MnN3,127.573,0.185,1.857,8007
SrLi4N2,99.014,0.135,1.822,8126
LiB,124.154,0.182,1.793,4293
Al(SnO2)2,161.672,0.263,1.575,139
Ga2CoS4,158.550,0.263,1.389,2674
Cs2CrCl4,109.445,0.241,1.340,1826
TbGaRh2,176.671,0.283,1.273,8438
LiAlPt2,158.747,0.278,1.222,4281
Cr2FeS4,166.730,0.271,1.210,1698
U2CrN3,163.360,0.287,1.104,9287
ErB2Rh2C,200.569,0.281,1.062,2384
ScNbOs2,170.296,0.286,1.013,7384
MgSiN2,137.612,0.275,0.890,5115
Nd(CoSi)2,148.783,0.281,0.693,5981
CrPO4,143.208,0.258,0.649,1787
MnAlRh2,181.791,0.288,0.595,5266
Mn3O4,135.048,0.265,0.593,5230
CaCu2O3,113.450,0.267,0.589,1177
BeGaRh2,180.709,0.288,0.565,852
Sm2Zr2O7,99.311,0.261,0.515,7608
Ho2CF2,90.873,0.239,0.513,3185
Ho2Cr2C3,128.034,0.274,0.502,3189
CrGaP2,143.155,0.274,0.483,1766
TmHfRu2,172.152,0.281,0.476,9217
Na2Hf2O5,85.646,0.253,0.370,5475
LiTmIn2,62.664,0.180,0.360,4641
Sr6Sn2NO,56.725,0.150,0.348,8034
CuAs,103.173,0.277,0.327,2091
Nd2CdIn,62.136,0.182,0.287,6000
Hf4N3,174.738,0.286,0.284,2946
HoTmMg2,57.498,0.175,0.251,3325
YMg2,67.523,0.275,0.226,9816
NdBPd3,161.042,0.286,0.199,6045
Fe3Sn2,123.182,0.289,0.192,2587
Mg(BeN)2,111.699,0.275,0.162,4839
Sm2AgSn,59.028,0.179,0.155,7571
CaSmZn2,54.006,0.178,0.136,1307
Yb2SbAu,49.655,0.168,0.120,9975
Yb2AgSn,49.312,0.174,0.110,9954
Pr2ZnHg,54.580,0.180,0.082,6558
ZrH3,74.685,0.255,0.072,10471
SF6,57.005,0.224,0.062,7074
RbSbO3,44.008,0.241,0.046,6979
Pr(CoSi)2,125.352,0.280,0.031,6525
CeNiC2,146.216,0.280,0.019,1560
LiErGe,46.653,0.142,0.019,4381
P3N5,108.250,0.275,0.008,6305
ThSiO4,111.409,0.259,0.003,8639
LiZnAu2,100.527,0.280,-0.003,4682
MnSbPd2,152.069,0.288,-0.045,5373
Er2ZnRu,66.950,0.179,-0.080,2366
Rb2Cr(BrCl)2,59.294,0.241,-0.081,6763
Li7Sn2,25.173,0.129,-0.108,4239
P2Pb2O7,92.976,0.258,-0.136,6298
NdTmTl2,44.268,0.184,-0.141,6155
Ca3BiSb,41.049,0.150,-0.154,1069
Ti2GaC,151.894,0.286,-0.155,8693
Li4UO5,62.486,0.194,-0.171,4204
K2SnCl6,28.238,0.240,-0.193,3510
Rb3Mg,21.444,0.125,-0.213,6861
YNiSb,71.128,0.271,-0.234,9851
Cs2RbInF6,40.565,0.238,-0.258,1888
Cs2PbCl6,25.453,0.240,-0.272,1870
Li3Au,29.380,0.126,-0.277,4140
MgS,84.812,0.265,-0.371,5093
DyIr3,123.226,0.283,-0.400,2263
TbNi2,86.076,0.280,-0.406,8458
Ni2Ge,107.435,0.288,-0.421,6171
LiTmHg2,40.428,0.176,-0.422,4640
Fe2W,141.492,0.289,-0.434,2569
Ca3Au,33.940,0.122,-0.481,1065
Sc2CoRu,118.471,0.287,-0.490,7168
CaPd3O4,98.554,0.267,-0.511,1270
V2C,132.573,0.285,-0.554,9401
CeIr2,128.951,0.284,-0.569,1545
ZnCo3C,110.614,0.288,-0.576,10231
BaTiS3,50.654,0.253,-0.582,751
LaCu2,84.265,0.284,-0.710,3852
AsPdSe,65.512,0.270,-0.763,352
DyCuSeO,67.187,0.266,-0.800,2242
ErCdCu4,85.806,0.288,-0.821,2394
Ho(SiRu)2,120.372,0.281,-0.988,3178
BaTe2,13.954,0.245,-0.998,744
Sr(ZnGe)2,61.771,0.276,-1.117,7904
Sc3AlC,103.904,0.286,-1.262,7232
TbCd3,28.795,0.280,-1.479,8415
HoCd3,28.590,0.279,-1.485,3230
HfPbO3,83.488,0.261,-1.583,3060
Ba(CdAs)2,52.598,0.276,-1.649,422
ZrGeTe,53.864,0.274,-1.671,10467
SmMn2O5,64.572,0.260,-1.684,7724
Sc2CdAg,73.576,0.287,-1.709,7161
Cu3P,65.478,0.288,-1.709,2071
TiBiRh,112.803,0.287,-1.750,8848
Sc,60.222,0.277,-1.964,7129
TaNiGe,92.626,0.288,-2.093,8321
In2Se3,27.104,0.263,-2.345,3346
CdCl2,3.518,0.254,-2.491,1387
