,Measurement 1,Measurement 2,Measurement 3,Measurement 4,Measurement 5,Measurement 6,Measurement 7,Measurement 8,Measurement 9,Measurement 10,Measurement 11,Measurement 12,Measurement 13,Measurement 14,Measurement 15,Measurement 16,Measurement 17,Measurement 18,Measurement 19,Measurement 20
Dm:,6.78983928709123,6.8929124886121,6.61615119550345,6.9391951128027,5.62330792761461,6.14445998668518,5.92632398202685,7.60469767076284,6.95806925436005,9.1100681089625,7.99307686724938,10.326561959573,9.00358419918888,8.34357425905962,7.36677248970214,9.38956805552943,7.85384668449317,9.05059896665905,7.95283422788788,8.9978171230338
Td:,27.24814185337858,25.202359698812316,27.490101639502072,25.766983688745633,26.96596698879188,23.260444651507456,25.292122532439528,25.02907226847709,26.33892493520926,24.672206447216023,26.834184334416417,24.95609882145957,24.953608817315647,23.263334037769752,26.310807301263075,24.13385139304994,26.006925729469042,23.934920403131592,26.70326739339344,24.11420037343392
Tc:,31.460173776565693,24.962768947669275,28.54190575501572,23.450825401571713,27.556345875264785,23.40686660914063,27.195319058341255,24.014163025158158,28.296985234921298,23.208647806888028,27.374155265900537,23.392115978450498,28.483687915916377,22.346977385809318,25.369808879697317,23.393701206974715,27.64894244680791,23.30969801567649,27.74334826573164,22.990609253557817
Ts:,132.02802012329116,62.48971691202493,164.16514883925882,70.38720042338032,222.5343602014667,64.11220589276263,224.7697837252285,178.31305816807497,167.587072803681,115.15958427212472,152.99089759223477,167.76270509864275,163.45106627417832,199.68609830884782,223.9628600202164,55.32176547867507,69.6165025758718,88.45537743382144,138.36328332267186,65.19324048097204
Tr:,75.06340133370719,28.036236528685578,97.89327727589227,35.42305553375549,169.09108396724417,30.580660018684426,176.9681933790444,128.07400929944552,96.64103419501745,76.11970249946314,99.8850208470097,127.95861743457384,106.74290038177939,160.65174098228633,173.98383089755822,20.785970157925775,24.533766460459404,44.16856986398196,75.62030336944503,27.861814060446022
P1:,58.70831562994427,50.16512864648159,56.03200739451779,49.217809090317346,54.522312864056666,46.667311260648084,52.48744159078078,49.04323529363525,54.63591017013056,47.88085425410405,54.208339600316954,48.34821479991007,53.437296733232024,45.61031142357907,51.68061618096039,47.527552600024656,53.655868176276954,47.24461841880808,54.44661565912508,47.10480962699174
P2:,0.7821163787788727,1.789296098823913,0.572378501912884,1.3894286743111843,0.32244345227935595,1.5260400276558748,0.29659251523441305,0.382928867159682,0.5653489806398143,0.6290205121918565,0.5427073963707323,0.37784258512038754,0.5006168704626427,0.28390798098234193,0.2970426384701804,2.2865207752596626,2.1870212330729193,1.0696433813523707,0.7199999634109463,1.6906583873109684
P3:,0.10408841222597187,0.12366401536550213,0.10627026146016144,0.12689056495915962,0.09282396268610152,0.11849866295339392,0.10161843332750681,0.1395549837344191,0.11461806547056706,0.17123882657886114,0.13270594955618933,0.19222851975152946,0.1516398896396773,0.16463857839987547,0.12828978697770468,0.17780446893813134,0.13173697968732254,0.17241199828910897,0.13145997631717832,0.17191525610348987
RDD Max:,0.2097167986611661,0.2623111752727061,0.21630391196929555,0.2804202042646087,0.1897329871421527,0.2508392877550278,0.2047867089585329,0.3068257234656129,0.22823925251449628,0.376814071487356,0.2751828793070823,0.42388640440817693,0.2987815767954496,0.362372512041536,0.27808718780689334,0.3861016037185676,0.2663447616439436,0.37433571539919885,0.27119185943295365,0.37684938156757375
RDD Min:,-0.11074396716279011,-0.12281175923745025,-0.054599043775404255,-0.11136183740162409,-0.05845361057220089,-0.0961563422506746,-0.07999968593804851,-0.07291590838198658,-0.06031610325044312,-0.12828028369944633,-0.07649267334875276,-0.10402035517790864,-0.07001149490262826,-0.0980876542298752,-0.0626217963975364,-0.20395135191872527,-0.14913118490994748,-0.10024297246013925,-0.06718096003265828,-0.15129201009060722
RDD Peak to Peak:,0.3204607658239562,0.38512293451015633,0.2709029557446998,0.39178204166623276,0.24818659771435359,0.3469956300057024,0.2847863948965814,0.37974163184759946,0.2885553557649394,0.5050943551868023,0.35167555265583506,0.5279067595860856,0.36879307169807785,0.4604601662714112,0.34070898420442974,0.5900529556372929,0.4154759465538911,0.4745786878593381,0.33837281946561193,0.528141391658181
RDD Max Time:,39.416040100250626,39.18546365914787,42.69423558897243,38.13533834586466,42.095238095238095,36.34586466165413,40.6140350877193,37.30576441102757,41.24561403508772,37.0250626566416,39.67418546365915,36.854636591478695,37.015037593984964,36.10526315789474,40.145363408521305,37.56390977443609,37.88471177944862,36.07518796992481,39.62406015037594,35.93483709273183
RDD Min Time:,105.25563909774436,81.16541353383458,187.21553884711778,82.87468671679198,287.62406015037595,79.28571428571429,93.28571428571429,241.0952380952381,195.8345864661654,81.8546365914787,199.65413533834587,81.47619047619048,97.04511278195488,81.86466165413533,100.53383458646617,83.6842105263158,96.60401002506265,83.75438596491227,110.99498746867168,82.35588972431077
Max to Min Time:,65.83959899749374,41.97994987468671,144.52130325814534,44.739348370927324,245.52882205513785,42.93984962406016,52.67167919799499,203.78947368421052,154.58897243107768,44.82957393483709,159.97994987468672,44.62155388471179,60.03007518796992,45.75939849624059,60.388471177944865,46.120300751879704,58.71929824561403,47.67919799498746,71.37092731829574,46.42105263157894
